Date,y
2013-05-26,1191.0
2013-05-27,769.0
2013-05-28,3359.0
2013-05-29,3137.0
2013-05-30,3963.0
2013-05-31,4415.0
2013-06-01,2240.0
2013-06-02,2676.0
2013-06-03,4292.0
2013-06-04,5121.0
2013-06-05,5038.0
2013-06-06,4639.0
2013-06-07,3676.0
2013-06-08,2179.0
2013-06-09,2081.0
2013-06-10,4369.0
2013-06-11,3678.0
2013-06-12,4005.0
2013-06-13,3915.0
2013-06-14,1209.0
2013-06-15,2508.0
2013-06-16,2302.0
2013-06-17,4252.0
2013-06-18,4526.0
2013-06-19,3655.0
2013-06-20,2471.0
2013-06-21,3010.0
2013-06-22,3143.0
2013-06-23,1644.0
2013-06-24,2432.0
2013-06-25,2649.0
2013-06-26,2904.0
2013-06-27,2928.0
2013-06-28,4099.0
2013-06-29,2732.0
2013-06-30,2746.0
2013-07-01,4207.0
2013-07-02,4696.0
2013-07-03,4255.0
2013-07-04,3749.0
2013-07-05,3088.0
2013-07-06,2922.0
2013-07-07,2595.0
2013-07-08,4347.0
2013-07-09,4816.0
2013-07-10,4607.0
2013-07-11,4100.0
2013-07-12,3696.0
2013-07-13,2698.0
2013-07-14,2640.0
2013-07-15,4418.0
2013-07-16,4593.0
2013-07-17,4171.0
2013-07-18,4386.0
2013-07-19,3915.0
2013-07-20,2511.0
2013-07-21,2425.0
2013-07-22,4174.0
2013-07-23,4604.0
2013-07-24,4694.0
2013-07-25,4473.0
2013-07-26,3963.0
2013-07-27,2501.0
2013-07-28,1980.0
2013-07-29,4088.0
2013-07-30,4540.0
2013-07-31,4122.0
2013-08-01,3719.0
2013-08-02,2579.0
2013-08-03,2257.0
2013-08-04,2466.0
2013-08-05,4312.0
2013-08-06,4602.0
2013-08-07,4556.0
2013-08-08,4275.0
2013-08-09,3833.0
2013-08-10,1897.0
2013-08-11,2315.0
2013-08-12,4028.0
2013-08-13,4469.0
2013-08-14,4171.0
2013-08-15,3334.0
2013-08-16,3819.0
2013-08-17,2219.0
2013-08-18,2301.0
2013-08-19,4117.0
2013-08-20,4524.0
2013-08-21,4392.0
2013-08-22,4170.0
2013-08-23,3446.0
2013-08-24,2030.0
2013-08-25,2059.0
2013-08-26,3240.0
2013-08-27,3892.0
2013-08-28,3484.0
2013-08-29,2375.0
2013-08-30,3376.0
2013-08-31,2292.0
2013-09-01,2288.0
2013-09-02,2325.0
2013-09-03,2931.0
2013-09-04,3830.0
2013-09-05,2248.0
2013-09-06,2223.0
2013-09-07,1880.0
2013-09-08,2331.0
2013-09-09,3893.0
2013-09-10,4245.0
2013-09-11,4411.0
2013-09-12,4045.0
2013-09-13,3232.0
2013-09-14,1832.0
2013-09-15,1024.0
2013-09-16,3065.0
2013-09-17,3284.0
2013-09-18,3909.0
2013-09-19,4118.0
2013-09-20,3334.0
2013-09-21,1932.0
2013-09-22,796.0
2013-09-23,2257.0
2013-09-24,3206.0
2013-09-25,3102.0
2013-09-26,3613.0
2013-09-27,2149.0
2013-09-28,477.0
2013-09-29,490.0
2013-09-30,2259.0
2013-10-01,2730.0
2013-10-02,2412.0
2013-10-03,3251.0
2013-10-04,3214.0
2013-10-05,2153.0
2013-10-06,2170.0
2013-10-07,2940.0
2013-10-08,2890.0
2013-10-09,3587.0
2013-10-10,3172.0
2013-10-11,2334.0
2013-10-12,1274.0
2013-10-13,1515.0
2013-10-14,3405.0
2013-10-15,3464.0
2013-10-16,3340.0
2013-10-17,3251.0
2013-10-18,2950.0
2013-10-19,1134.0
